# taps installed F1
[MHB] F100 pc=40885EFC slot_hits=0 super_hits=0
[MHB] F200 pc=408469C6 slot_hits=0 super_hits=0
[MHB] F300 pc=40847360 slot_hits=0 super_hits=0
[MHB] F400 pc=40814926 slot_hits=0 super_hits=0
[slot] F400 pc=40806074 addr=FEFF00E4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00E8 data=00000002 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00EC data=000000D4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00F0 data=00000094 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00F4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00F8 data=00000009 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00FC data=000000A0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0100 data=00000095 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0104 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0108 data=00000005 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF010C data=00000010 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0110 data=00000096 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0114 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0118 data=00000005 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF011C data=000000D8 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0120 data=00000097 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0124 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0128 data=00000003 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF012C data=00000084 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0130 data=00000098 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0134 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0138 data=00000007 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF013C data=0000005C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0140 data=0000009C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0144 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0148 data=00000008 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF014C data=000000D0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0150 data=000000A0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0154 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0158 data=00000007 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF015C data=000000DC mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0160 data=000000A1 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0164 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0168 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF016C data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0170 data=000000A2 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0174 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0178 data=00000006 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF017C data=00000054 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0180 data=000000A3 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0184 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0188 data=00000002 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF018C data=00000078 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0190 data=000000A4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0194 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0198 data=00000009 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF019C data=00000044 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01A0 data=000000A5 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01A4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01A8 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01AC data=000000B4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01B0 data=000000A6 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01B4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01B8 data=00000005 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01BC data=00000078 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01C0 data=000000A7 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01C4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01C8 data=00000003 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01CC data=00000028 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01D0 data=000000A8 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01D4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01D8 data=00000007 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01DC data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01E0 data=000000AC mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01E4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01E8 data=00000008 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01EC data=00000074 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01F0 data=000000B0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01F4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01F8 data=00000008 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF01FC data=00000014 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0200 data=000000B1 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0204 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0208 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF020C data=00000038 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0210 data=000000B2 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0214 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0218 data=00000006 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF021C data=00000094 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0220 data=000000B3 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0224 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0228 data=00000002 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF022C data=000000B0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0230 data=000000B4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0234 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0238 data=00000009 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF023C data=0000007C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0240 data=000000B5 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0244 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0248 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF024C data=000000F0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0250 data=000000B6 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0254 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0258 data=00000005 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF025C data=000000B8 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0260 data=000000B7 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0264 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0268 data=00000003 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF026C data=00000060 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0270 data=000000B8 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0274 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0278 data=00000007 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF027C data=00000038 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0280 data=000000BC mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0284 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0288 data=00000008 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF028C data=000000AC mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0290 data=000000FF mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0294 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0298 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF029C data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02A0 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02A4 data=00000000 mask=000000FF
